x, y, h
0, 0, 0
0.35999998, 1.3946406, 0
0.71999997, 2.7034078, 0
1.0799999, 3.9328763, 0
1.4399999, 5.088821, 0
1.8000001, 6.1763477, 0
2.1599998, 7.199998, 0
2.52, 8.1638365, 0
2.8799999, 9.071506, 0
3.2400002, 9.926295, 0
3.6000001, 10.731195, 10
3.96, 11.488909, 10
4.3199997, 12.201915, 10
4.68, 12.872478, 10
5.04, 13.50268, 10
5.4, 14.094435, 10
5.7599998, 14.649511, 10
6.12, 15.16955, 10
6.4800005, 15.656065, 10
6.84, 16.110474, 10
7.2000003, 16.534088, 10
7.56, 16.928139, 10
7.92, 17.293772, 10
8.28, 17.632067, 10
8.639999, 17.94403, 10
9, 18.230618, 10
9.36, 18.492718, 10
9.72, 18.73117, 10
10.08, 18.946777, 10
10.44, 19.140284, 10
10.8, 19.312405, 10
11.16, 19.463814, 10
11.5199995, 19.595154, 10
11.88, 19.707024, 10
12.24, 19.8, 10
12.599999, 19.87464, 10
12.960001, 19.931461, 10
13.32, 19.970968, 10
13.68, 19.993628, 10
14.039999, 19.999903, 10
14.400001, 19.990223, 10
14.76, 19.965, 10
15.12, 19.92464, 10
15.4800005, 19.869516, 10
15.84, 19.8, 10
16.199999, 19.716438, 10
16.56, 19.619173, 10
16.92, 19.508514, 10
17.279999, 19.384792, 10
17.64, 19.248287, 10
18, 19.0993, 10
18.36, 18.9381, 10
18.72, 18.764961, 10
19.079998, 18.580132, 10
19.44, 18.383865, 10
19.800001, 18.176403, 10
20.16, 17.957973, 10
20.52, 17.728798, 10
20.88, 17.489098, 10
21.24, 17.239082, 10
21.6, 16.978943, 10
21.960001, 16.708889, 10
22.32, 16.429104, 10
22.68, 16.13977, 10
23.039999, 15.841064, 10
23.4, 15.533157, 10
23.76, 15.216225, 10
24.12, 14.890419, 10
24.48, 14.555908, 10
24.84, 14.212833, 10
25.199999, 13.861351, 10
25.56, 13.501591, 10
25.920002, 13.133713, 10
26.28, 12.757847, 10
26.64, 12.374119, 10
27, 11.982658, 10
27.36, 11.583595, 10
27.72, 11.17704, 10
28.079998, 10.763145, 10
28.44, 10.341972, 10
28.800001, 9.913673, 0
29.16, 9.478359, 0
29.52, 9.036121, 0
29.88, 8.587059, 0
30.24, 8.13129, 0
30.6, 7.668907, 0
30.960001, 7.2000046, 0
31.32, 6.724678, 0
31.68, 6.243004, 0
32.04, 5.7551117, 0
32.399998, 5.2610626, 0
32.760002, 4.760933, 0
33.12, 4.2548294, 0
33.48, 3.7428207, 0
33.84, 3.2249908, 0
34.2, 2.7014084, 0
34.559998, 2.1721802, 0
34.920002, 1.6373291, 0
35.28, 1.0969849, 0
35.64, 0.55117035, 0
36, 0, 0
