x, y, h
0, 0, 0
0.19999999, 0.79199994, 0
0.39999998, 1.568, 0
0.59999996, 2.3279998, 0
0.79999995, 3.0719998, 0
1, 3.8, 0
1.1999999, 4.5119996, 0
1.4, 5.2079997, 0
1.5999999, 5.8879995, 0
1.8000001, 6.552, 0
2, 7.2, 0
2.2, 7.8320003, 0
2.3999999, 8.448, 0
2.6, 9.047999, 0
2.8, 9.632, 0
3, 10.2, 0
3.1999998, 10.751999, 0
3.4, 11.288, 0
3.6000001, 11.808001, 0
3.8, 12.312, 0
4, 12.799999, 0
4.2, 13.271999, 0
4.4, 13.728001, 0
4.6, 14.168, 0
4.7999997, 14.591999, 0
5, 15, 15
5.2, 15.391999, 15
5.4, 15.768, 15
5.6, 16.127998, 15
5.7999997, 16.472, 15
6, 16.8, 15
6.2, 17.112, 15
6.3999996, 17.407999, 15
6.6000004, 17.688, 15
6.8, 17.952, 15
7, 18.2, 15
7.2000003, 18.432001, 15
7.4, 18.647999, 15
7.6, 18.848, 15
7.7999997, 19.032001, 15
8, 19.199999, 15
8.2, 19.352, 15
8.4, 19.487999, 15
8.6, 19.608002, 15
8.8, 19.712002, 15
9, 19.800001, 15
9.2, 19.872002, 15
9.4, 19.928001, 15
9.599999, 19.968, 15
9.8, 19.992, 15
10, 20, 15
10.2, 19.992, 15
10.4, 19.967999, 15
10.599999, 19.928, 15
10.8, 19.872, 15
11, 19.8, 15
11.2, 19.711998, 15
11.4, 19.607998, 15
11.599999, 19.487999, 15
11.799999, 19.352, 15
12, 19.199999, 15
12.200001, 19.032001, 15
12.4, 18.847998, 15
12.6, 18.648003, 15
12.799999, 18.432, 15
13, 18.200005, 15
13.200001, 17.952, 15
13.400001, 17.688, 15
13.6, 17.408, 15
13.8, 17.112, 15
14, 16.800003, 15
14.2, 16.472004, 15
14.400001, 16.128002, 15
14.6, 15.767998, 15
14.8, 15.391998, 15
15, 15, 15
15.2, 14.591999, 0
15.4, 14.167999, 0
15.599999, 13.728004, 0
15.8, 13.271999, 0
16, 12.799995, 0
16.2, 12.311996, 0
16.4, 11.807999, 0
16.6, 11.287998, 0
16.8, 10.751999, 0
17, 10.199997, 0
17.2, 9.632004, 0
17.4, 9.0479965, 0
17.6, 8.448002, 0
17.8, 7.8320007, 0
18, 7.2000046, 0
18.2, 6.552002, 0
18.4, 5.888008, 0
18.6, 5.208, 0
18.8, 4.5120087, 0
19, 3.800003, 0
19.199999, 3.0720062, 0
19.400002, 2.3279953, 0
19.6, 1.5680008, 0
19.8, 0.79200745, 0
20, 0, 0
